Date, Open, High, Low, Close, Volume
04/12/19, 120.64, 120.98, 120.37, 120.95, 19745141
04/11/19, 120.54, 120.85, 119.92, 120.33, 14209120
04/10/19, 119.76, 120.35, 119.54, 120.19, 16477170
04/09/19, 118.63, 119.54, 118.58, 119.28, 17611980
04/08/19, 119.81, 120.02, 118.64, 119.93, 15116190
04/05/19, 119.39, 120.23, 119.37, 119.89, 15826250
04/04/19, 120.10, 120.23, 118.38, 119.36, 20112850
04/03/19, 119.86, 120.43, 119.15, 119.97, 22860740
04/02/19, 119.06, 119.48, 118.52, 119.19, 18142301
04/01/19, 118.95, 119.1085, 118.10, 119.02, 22789100
03/29/19, 118.07, 118.32, 116.96, 117.94, 25399750
03/28/19, 117.44, 117.58, 116.13, 116.93, 18334760
03/27/19, 117.875, 118.21, 115.5215, 116.77, 22733430
03/26/19, 118.62, 118.705, 116.85, 117.91, 26097670
03/25/19, 116.56, 118.01, 116.3224, 117.66, 27067119
03/22/19, 119.50, 119.59, 117.04, 117.05, 33624527
03/21/19, 117.135, 120.82, 117.09, 120.22, 29854449
03/20/19, 117.39, 118.75, 116.71, 117.52, 28113340
03/19/19, 118.09, 118.44, 116.99, 117.65, 37588699
03/18/19, 116.17, 117.61, 116.05, 117.57, 31207600
03/15/19, 115.34, 117.25, 114.59, 115.91, 54630660
03/14/19, 114.54, 115.20, 114.33, 114.59, 30763369
03/13/19, 114.13, 115.00, 113.78, 114.50, 35513770
03/12/19, 112.82, 113.99, 112.6499, 113.62, 26132721
03/11/19, 110.99, 112.95, 110.98, 112.83, 26491619
03/08/19, 109.16, 110.71, 108.80, 110.51, 22818430
03/07/19, 111.40, 111.55, 109.865, 110.39, 25338949
03/06/19, 111.87, 112.66, 111.43, 111.75, 17687000
03/05/19, 112.25, 112.39, 111.23, 111.70, 19538320
03/04/19, 113.02, 113.25, 110.80, 112.26, 26608010
03/01/19, 112.89, 113.02, 111.665, 112.53, 23501170
02/28/19, 112.04, 112.88, 111.73, 112.03, 29083930
02/27/19, 111.69, 112.36, 110.88, 112.17, 21487061
02/26/19, 111.26, 113.24, 111.17, 112.36, 21536730
02/25/19, 111.76, 112.18, 111.26, 111.59, 23750600
02/22/19, 110.05, 111.20, 109.82, 110.97, 27763221
02/21/19, 106.90, 109.48, 106.87, 109.41, 29063230
02/20/19, 107.86, 107.94, 106.29, 107.15, 21607670
02/19/19, 107.79, 108.66, 107.78, 108.17, 18038461
02/15/19, 107.91, 108.30, 107.3624, 108.22, 26606891
02/14/19, 106.31, 107.29, 105.66, 106.90, 21784699
02/13/19, 107.50, 107.78, 106.71, 106.81, 18394869
02/12/19, 106.14, 107.14, 105.48, 106.89, 25056600
02/11/19, 106.20, 106.58, 104.965, 105.25, 18914119
02/08/19, 104.39, 105.78, 104.2603, 105.67, 21461090
02/07/19, 105.185, 105.59, 104.29, 105.27, 29760699
02/06/19, 107.00, 107.00, 105.53, 106.03, 20609760
02/05/19, 106.06, 107.27, 105.96, 107.22, 27325369
02/04/19, 102.87, 105.80, 102.77, 105.74, 31315279
02/01/19, 103.775, 104.0999, 102.35, 102.78, 35535688
01/31/19, 103.80, 105.22, 103.18, 104.43, 55636391
01/30/19, 104.62, 106.38, 104.33, 106.38, 49471871
01/29/19, 104.88, 104.97, 102.17, 102.94, 31490551
01/28/19, 106.26, 106.48, 104.66, 105.08, 29476721
01/25/19, 107.24, 107.88, 106.59, 107.17, 31218189
01/24/19, 106.86, 107.00, 105.34, 106.20, 23164840
01/23/19, 106.12, 107.04, 105.34, 106.71, 25874289
01/22/19, 106.75, 107.10, 104.86, 105.68, 32371250
01/18/19, 107.46, 107.90, 105.91, 107.71, 37427594
01/17/19, 105.00, 106.625, 104.76, 106.12, 28393020
01/16/19, 105.26, 106.255, 104.96, 105.38, 29853869
01/15/19, 102.51, 105.05, 101.88, 105.01, 31587619
01/14/19, 101.90, 102.8716, 101.26, 102.05, 28437080
01/11/19, 103.19, 103.44, 101.64, 102.80, 28314199
01/10/19, 103.22, 103.75, 102.38, 103.60, 30067561
01/09/19, 103.86, 104.88, 103.2445, 104.27, 32280840
01/08/19, 103.04, 103.97, 101.7134, 102.80, 31514420
01/07/19, 101.64, 103.2681, 100.98, 102.06, 35656141
01/04/19, 99.72, 102.51, 98.93, 101.93, 44060621
01/03/19, 100.10, 100.185, 97.20, 97.40, 42578406
01/02/19, 99.55, 101.75, 98.94, 101.12, 35329352
12/31/18, 101.29, 102.40, 100.44, 101.57, 33173770
12/28/18, 102.09, 102.41, 99.52, 100.39, 38169312
12/27/18, 99.30, 101.19, 96.40, 101.18, 49498512
12/26/18, 95.14, 100.69, 93.96, 100.56, 51634793
12/24/18, 97.68, 97.97, 93.98, 94.13, 43935191
12/21/18, 101.63, 103.00, 97.46, 98.23, 111242094
12/20/18, 103.05, 104.31, 98.78, 101.51, 70334180
12/19/18, 103.65, 106.88, 101.35, 103.69, 68198195
12/18/18, 103.75, 104.51, 102.52, 103.97, 49319199
12/17/18, 105.41, 105.80, 101.71, 102.89, 56957312
12/14/18, 108.25, 109.26, 105.50, 106.03, 47043141
12/13/18, 109.58, 110.87, 108.63, 109.45, 31333359
12/12/18, 110.89, 111.27, 109.04, 109.08, 36183020
12/11/18, 109.80, 110.95, 107.44, 108.59, 42381953
12/10/18, 104.80, 107.98, 103.89, 107.59, 40801527
12/07/18, 108.38, 109.45, 104.30, 104.82, 45044941
12/06/18, 105.82, 109.24, 105.00, 109.19, 49107434
12/04/18, 111.94, 112.6373, 108.2115, 108.52, 45196980
12/03/18, 113.00, 113.42, 110.73, 112.09, 34732770
11/30/18, 110.70, 110.97, 109.36, 110.89, 33665621
11/29/18, 110.33, 111.115, 109.03, 110.19, 28123199
11/28/18, 107.89, 111.33, 107.86, 111.12, 46788461
11/27/18, 106.27, 107.33, 105.36, 107.14, 29124490
11/26/18, 104.79, 106.63, 104.58, 106.47, 32336170
11/23/18, 102.17, 103.8099, 102.00, 103.07, 13823100
11/21/18, 103.60, 104.43, 102.24, 103.11, 28130619
11/20/18, 101.80, 102.97, 99.3528, 101.71, 64052461
11/19/18, 108.27, 108.56, 103.55, 104.62, 44773898
11/16/18, 107.08, 108.88, 106.80, 108.29, 33502121
11/15/18, 104.99, 107.80, 103.91, 107.28, 38505168
11/14/18, 108.10, 108.26, 104.47, 104.97, 39495141
11/13/18, 107.55, 108.74, 106.64, 106.94, 35374578
11/12/18, 109.42, 109.96, 106.10, 106.87, 33621809
11/09/18, 110.85, 111.45, 108.76, 109.57, 32039221
11/08/18, 111.80, 112.21, 110.91, 111.75, 25644109
11/07/18, 109.44, 112.24, 109.40, 111.96, 37901699
11/06/18, 107.38, 108.84, 106.28, 107.72, 24340250
11/05/18, 106.37, 107.74, 105.90, 107.51, 27922141
11/02/18, 106.48, 107.32, 104.975, 106.16, 37680191
11/01/18, 107.05, 107.32, 105.53, 105.92, 33384199
10/31/18, 105.435, 108.14, 105.39, 106.81, 51062379
10/30/18, 103.66, 104.38, 100.11, 103.73, 65350879
10/29/18, 108.105, 108.70, 101.63, 103.85, 55162000
10/26/18, 105.69, 108.75, 104.76, 106.96, 55523102
10/25/18, 106.55, 109.27, 106.15, 108.30, 61646820
10/24/18, 108.41, 108.49, 101.5901, 102.32, 63897762
10/23/18, 107.77, 108.97, 105.11, 108.10, 43770434
10/22/18, 109.32, 110.54, 108.24, 109.63, 26545609
10/19/18, 108.93, 110.86, 108.21, 108.66, 32785480
10/18/18, 110.10, 110.53, 107.83, 108.50, 32506189
10/17/18, 111.68, 111.81, 109.5482, 110.71, 26548240
10/16/18, 109.54, 111.41, 108.95, 111.00, 31610160
10/15/18, 108.91, 109.48, 106.9468, 107.60, 32068100
10/12/18, 109.01, 111.24, 107.12, 109.57, 47742113
10/11/18, 105.35, 108.93, 104.20, 105.91, 63904281
10/10/18, 111.24, 111.50, 105.79, 106.16, 61376320
10/09/18, 111.14, 113.08, 110.80, 112.26, 26198590
10/08/18, 111.66, 112.03, 109.34, 110.85, 29640590
10/05/18, 112.63, 113.17, 110.64, 112.13, 29068859
10/04/18, 114.61, 114.7588, 111.63, 112.79, 34821719
10/03/18, 115.42, 116.18, 114.93, 115.17, 16648020
10/02/18, 115.30, 115.84, 114.44, 115.15, 20787240
10/01/18, 114.75, 115.68, 114.73, 115.61, 18883080
09/28/18, 114.19, 114.57, 113.68, 114.37, 21647811
09/27/18, 114.78, 114.91, 114.20, 114.41, 19091301
09/26/18, 114.47, 115.055, 113.74, 113.98, 19352029
09/25/18, 114.80, 115.10, 113.75, 114.45, 22668010
09/24/18, 113.03, 114.90, 112.2175, 114.67, 27334461
09/21/18, 114.00, 115.29, 113.51, 114.26, 71229695
09/20/18, 112.28, 113.80, 111.93, 113.57, 23714510
09/19/18, 113.05, 113.32, 111.035, 111.70, 21728430
09/18/18, 112.19, 113.695, 111.72, 113.21, 22170930
09/17/18, 113.69, 113.70, 111.86, 112.14, 20736520
09/14/18, 113.36, 113.73, 112.44, 113.37, 19122350
09/13/18, 112.12, 113.725, 112.12, 112.91, 26055619
09/12/18, 111.43, 111.85, 110.51, 111.71, 18891061
09/11/18, 108.90, 111.59, 108.89, 111.24, 24301770
09/10/18, 108.84, 109.64, 108.36, 109.38, 20727910
09/07/18, 108.23, 108.7248, 107.23, 108.21, 22498650
